window_start,reconstruction_mse,is_reconstruction_anomaly,split,supply_temp_c_reconstruction_mse,is_supply_temp_c_channel_anomaly,return_temp_c_reconstruction_mse,is_return_temp_c_channel_anomaly,derived_flow_kg_s_reconstruction_mse,is_derived_flow_kg_s_channel_anomaly,dominant_anomalous_feature
2024-01-03 17:45:00,0.28602964,False,train,0.13280429,False,0.42986575,False,0.29541886,False,return_temp_c
2024-01-04 05:45:00,0.25209224,False,train,0.12397719,False,0.33821627,False,0.29408324,False,return_temp_c
2024-01-04 17:45:00,0.21222745,False,train,0.1504801,False,0.26909134,False,0.21711093,False,return_temp_c
2024-01-05 05:45:00,0.101995334,False,train,0.13294944,False,0.09118039,False,0.081856176,False,supply_temp_c
2024-01-05 17:45:00,0.037920468,False,train,0.07506024,False,0.012274827,False,0.02642634,False,supply_temp_c
2024-01-06 05:45:00,0.03313591,False,train,0.05390191,False,0.013787333,False,0.031718496,False,supply_temp_c
2024-01-06 17:45:00,0.04189293,False,train,0.055659432,False,0.024166593,False,0.045852765,False,supply_temp_c
2024-01-07 05:45:00,0.07089366,False,train,0.07800939,False,0.08002723,False,0.054644365,False,return_temp_c
2024-01-07 17:45:00,5.0210047,True,train,0.3991783,True,0.54170465,False,14.122134,True,derived_flow_kg_s
2024-01-08 05:45:00,4.9891605,True,train,0.3792205,True,0.4850246,False,14.103238,True,derived_flow_kg_s
2024-01-08 17:45:00,0.073100895,False,train,0.14671847,False,0.039512556,False,0.033071637,False,supply_temp_c
2024-01-09 05:45:00,0.062643014,False,train,0.12712106,False,0.035915993,False,0.02489197,False,supply_temp_c
2024-01-09 17:45:00,0.026722336,False,train,0.05063769,False,0.013594666,False,0.015934652,False,supply_temp_c
2024-01-10 05:45:00,0.044067375,False,train,0.08536404,False,0.016713677,False,0.030124411,False,supply_temp_c
2024-01-10 17:45:00,0.059352532,False,train,0.122656874,False,0.020635301,False,0.03476542,False,supply_temp_c
2024-01-11 05:45:00,0.04069491,False,train,0.080771156,False,0.020422421,False,0.02089116,False,supply_temp_c
2024-01-11 17:45:00,0.043265037,False,train,0.060388487,False,0.025383597,False,0.044023037,False,supply_temp_c
2024-01-12 05:45:00,0.050480783,False,train,0.074184276,False,0.024005728,False,0.053252336,False,supply_temp_c
2024-01-12 17:45:00,0.037174325,False,train,0.060735017,False,0.0135555,False,0.03723247,False,supply_temp_c
2024-01-13 05:45:00,0.028242001,False,train,0.03820226,False,0.012332371,False,0.034191385,False,supply_temp_c
2024-01-13 17:45:00,0.07244141,False,train,0.076728776,False,0.06888241,False,0.07171301,False,supply_temp_c
2024-01-14 05:45:00,0.09380305,False,train,0.12852709,False,0.07349629,False,0.079385735,False,supply_temp_c
2024-01-14 17:45:00,0.053139187,False,train,0.10120157,False,0.023259157,False,0.034956843,False,supply_temp_c
2024-01-15 05:45:00,0.05104879,False,train,0.07963066,False,0.023823248,False,0.049692456,False,supply_temp_c
2024-01-15 17:45:00,0.07076827,False,train,0.1309545,False,0.030702705,False,0.050647587,False,supply_temp_c
2024-01-16 05:45:00,0.0544755,False,train,0.12056262,False,0.022839272,False,0.02002461,False,supply_temp_c
2024-01-16 17:45:00,0.0392704,False,train,0.07457451,False,0.022421896,False,0.020814786,False,supply_temp_c
2024-01-17 05:45:00,0.031265337,False,train,0.052720387,False,0.018597998,False,0.022477629,False,supply_temp_c
2024-01-17 17:45:00,0.0467458,False,train,0.07243083,False,0.028136013,False,0.039670583,False,supply_temp_c
2024-01-18 05:45:00,0.09618243,False,train,0.07093335,False,0.1801893,False,0.037424657,False,return_temp_c
2024-01-18 17:45:00,0.08767678,False,train,0.06182291,False,0.16252418,False,0.038683254,False,return_temp_c
2024-01-19 05:45:00,0.059591677,False,train,0.09783274,False,0.042903394,False,0.0380389,False,supply_temp_c
2024-01-19 17:45:00,0.0455008,False,train,0.06868272,False,0.03395159,False,0.03386807,False,supply_temp_c
2024-01-20 05:45:00,0.030962897,False,train,0.03562897,False,0.033334326,False,0.023925401,False,supply_temp_c
2024-01-20 17:45:00,0.028968636,False,train,0.033543292,False,0.030740857,False,0.022621766,False,supply_temp_c
2024-01-21 05:45:00,0.055618748,False,train,0.10118339,False,0.023228833,False,0.042444024,False,supply_temp_c
2024-01-21 17:45:00,0.058868237,False,train,0.099936076,False,0.029070431,False,0.047598187,False,supply_temp_c
2024-01-22 05:45:00,0.29430753,False,train,0.19362591,False,0.4154522,False,0.27384442,False,return_temp_c
2024-01-22 17:45:00,0.2955047,False,train,0.25294662,False,0.29314885,False,0.34041858,False,derived_flow_kg_s
2024-01-23 05:45:00,0.1515591,False,train,0.14277945,False,0.2017575,False,0.110140316,False,return_temp_c
2024-01-23 17:45:00,0.07314903,False,train,0.13716677,False,0.030518865,False,0.051761474,False,supply_temp_c
2024-01-24 05:45:00,0.052717235,False,train,0.10733682,False,0.026965449,False,0.023849433,False,supply_temp_c
2024-01-24 17:45:00,0.056191463,False,train,0.10632536,False,0.023425004,False,0.03882402,False,supply_temp_c
2024-01-25 05:45:00,0.040275097,False,train,0.06808837,False,0.01904496,False,0.03369196,False,supply_temp_c
2024-01-25 17:45:00,0.050343234,False,train,0.10238767,False,0.019049136,False,0.029592901,False,supply_temp_c
2024-01-26 05:45:00,0.04777257,False,train,0.094204545,False,0.01984148,False,0.0292717,False,supply_temp_c
2024-01-26 17:45:00,0.045395035,False,train,0.07756715,False,0.0305038,False,0.028114155,False,supply_temp_c
2024-01-27 05:45:00,0.03980325,False,train,0.06275734,False,0.02988801,False,0.026764408,False,supply_temp_c
2024-01-27 17:45:00,0.030186836,False,train,0.04873841,False,0.02038853,False,0.02143356,False,supply_temp_c
2024-01-28 05:45:00,0.04359534,False,train,0.076339275,False,0.0171328,False,0.03731394,False,supply_temp_c
2024-01-28 17:45:00,0.041140795,False,train,0.076396294,False,0.011916809,False,0.035109274,False,supply_temp_c
2024-01-29 05:45:00,0.04644032,False,train,0.09701244,False,0.015040872,False,0.027267657,False,supply_temp_c
2024-01-29 17:45:00,0.045421824,False,train,0.09585773,False,0.015709989,False,0.024697766,False,supply_temp_c
2024-01-30 05:45:00,0.030857537,False,train,0.060880035,False,0.009695196,False,0.021997372,False,supply_temp_c
2024-01-30 17:45:00,0.041716352,False,train,0.07587882,False,0.013739613,False,0.035530623,False,supply_temp_c
2024-01-31 05:45:00,0.06510432,False,train,0.10826937,False,0.018220177,False,0.06882341,False,supply_temp_c
2024-01-31 17:45:00,0.052496724,False,train,0.08986229,False,0.017869232,False,0.049758643,False,supply_temp_c
2024-02-01 05:45:00,0.029871348,False,train,0.059075553,False,0.01542522,False,0.015113271,False,supply_temp_c
2024-02-01 17:45:00,0.028130455,False,train,0.059241757,False,0.013796195,False,0.01135341,False,supply_temp_c
2024-02-02 05:45:00,0.034499023,False,train,0.07623792,False,0.015027545,False,0.012231611,False,supply_temp_c
2024-02-02 17:45:00,0.03820908,False,train,0.08137751,False,0.016095987,False,0.017153734,False,supply_temp_c
2024-02-03 05:45:00,0.045918345,False,train,0.09770176,False,0.01777223,False,0.022281045,False,supply_temp_c
2024-02-03 17:45:00,0.15296824,False,train,0.14987247,False,0.07063808,False,0.2383942,False,derived_flow_kg_s
2024-02-04 05:45:00,0.15846312,False,train,0.16211979,False,0.07116785,False,0.24210174,False,derived_flow_kg_s
2024-02-04 17:45:00,0.038567364,False,train,0.079781614,False,0.015555122,False,0.020365357,False,supply_temp_c
2024-02-05 05:45:00,0.039491653,False,train,0.0780666,False,0.013217068,False,0.027191287,False,supply_temp_c
2024-02-05 17:45:00,0.044447724,False,train,0.091455154,False,0.011501469,False,0.030386545,False,supply_temp_c
2024-02-06 05:45:00,0.02934928,False,train,0.06031157,False,0.010069073,False,0.017667202,False,supply_temp_c
2024-02-06 17:45:00,0.026442202,False,train,0.048810486,False,0.010592412,False,0.0199237,False,supply_temp_c
2024-02-07 05:45:00,0.031279977,False,train,0.067891516,False,0.008214809,False,0.017733611,False,supply_temp_c
2024-02-07 17:45:00,0.057020623,False,train,0.11454493,False,0.012658242,False,0.043858707,False,supply_temp_c
2024-02-08 05:45:00,0.05011274,False,train,0.09512919,False,0.011299069,False,0.043909956,False,supply_temp_c
2024-02-08 17:45:00,0.04114203,False,train,0.059270013,False,0.03238398,False,0.03177211,False,supply_temp_c
2024-02-09 05:45:00,0.06332146,False,train,0.104965776,False,0.03769782,False,0.047300775,False,supply_temp_c
2024-02-09 17:45:00,0.044384416,False,train,0.09293317,False,0.012576717,False,0.027643377,False,supply_temp_c
2024-02-10 05:45:00,0.018805332,False,train,0.038506422,False,0.010270415,False,0.007639159,False,supply_temp_c
2024-02-10 17:45:00,0.027641313,False,train,0.052037444,False,0.010818805,False,0.020067686,False,supply_temp_c
2024-02-11 05:45:00,0.020500835,False,train,0.034757424,False,0.009876407,False,0.01686868,False,supply_temp_c
2024-02-11 17:45:00,0.015980156,False,train,0.026555767,False,0.0080221845,False,0.013362516,False,supply_temp_c
