sheet,cluster,windows,anomaly_windows,anomaly_rate
cons_abat_cisneros,0,783,3,0.0038314176245210726
cons_abat_cisneros,1,6,0,0.0
cons_abat_cisneros,3,324,6,0.018518518518518517
cons_abat_garriga,0,919,0,0.0
cons_abat_garriga,3,188,9,0.047872340425531915
cons_abat_marcet,0,786,6,0.007633587786259542
cons_abat_marcet,1,3,0,0.0
cons_abat_marcet,3,162,4,0.024691358024691357
cons_abat_oliba,0,447,0,0.0
cons_abat_oliba,1,1,0,0.0
cons_abat_oliba,2,359,8,0.022284122562674095
cons_abat_oliba,3,148,0,0.0
cons_hostatgeria_DHW_radiators,0,823,5,0.006075334143377886
cons_hostatgeria_DHW_radiators,3,252,8,0.031746031746031744
cons_hostatgeria_underfloor_hea,1,318,1,0.0031446540880503146
cons_hostatgeria_underfloor_hea,3,5,3,0.6
cons_nostra_senyora,0,770,5,0.006493506493506494
cons_nostra_senyora,3,341,4,0.011730205278592375
