sheet,cluster,windows,anomaly_windows,anomaly_rate
cons_abat_cisneros,0,581,0,0.0
cons_abat_cisneros,1,2,0,0.0
cons_abat_cisneros,2,246,0,0.0
cons_abat_cisneros,3,284,4,0.014084507042253521
cons_abat_garriga,0,173,6,0.03468208092485549
cons_abat_garriga,2,776,2,0.002577319587628866
cons_abat_garriga,3,158,9,0.056962025316455694
cons_abat_marcet,0,473,0,0.0
cons_abat_marcet,1,1,0,0.0
cons_abat_marcet,2,336,0,0.0
cons_abat_marcet,3,141,10,0.07092198581560284
cons_abat_oliba,0,740,1,0.0013513513513513514
cons_abat_oliba,2,41,0,0.0
cons_abat_oliba,3,174,1,0.005747126436781609
cons_hostatgeria_DHW_radiators,0,858,37,0.04312354312354312
cons_hostatgeria_DHW_radiators,2,14,0,0.0
cons_hostatgeria_DHW_radiators,3,203,13,0.06403940886699508
cons_hostatgeria_underfloor_hea,1,318,2,0.006289308176100629
cons_hostatgeria_underfloor_hea,2,2,0,0.0
cons_hostatgeria_underfloor_hea,3,3,3,1.0
cons_nostra_senyora,0,527,3,0.0056925996204933585
cons_nostra_senyora,2,359,1,0.002785515320334262
cons_nostra_senyora,3,225,14,0.06222222222222222
