file,sheet,rows,columns,sampled,max_rows_per_sheet,numeric_columns,missing_cells,missing_pct,candidate_categories,datetime_ranges,column_preview
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\Abat Oliba Building\Abat_Oliba\Abat_Oliba_Data.xlsx,START Page,44,11,True,5000,0,229,0.4731,,,Unnamed: 0 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\Abat Oliba Building\Abat_Oliba\Abat_Oliba_Data.xlsx,DC Internal Temperatures,5000,3,True,5000,0,81,0.0054,,,Unnamed: 0 | Unnamed: 1 | Unnamed: 2
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\Abat Oliba Building\Abat_Oliba\Abat_Oliba_Data.xlsx,DH Internal Temperatures,5000,8,True,5000,0,216,0.0054,,,Unnamed: 0 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\Abat Oliba Building\Abat_Oliba\Abat_Oliba_Data.xlsx,Ground floor,5000,9,True,5000,0,270,0.006,,,Unnamed: 0 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\Abat Oliba Building\Abat_Oliba\Abat_Oliba_Data.xlsx,First floor,5000,9,True,5000,0,270,0.006,,,Unnamed: 0 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\Abat Oliba Building\Abat_Oliba\Abat_Oliba_Data.xlsx,DHW temperatures,5000,8,True,5000,0,232,0.0058,,,Unnamed: 0 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\Abat Oliba Building\Abat_Oliba\Abat_Oliba_Data.xlsx,Outdoor humidity,5000,2,True,5000,1,0,0.0,timestamp_candidate,Time stamp: 2024-12-16T14:00:00 to 2025-02-06T16:00:00,Time stamp | Outdoor Humidity
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_1.xlsx,INFO,35,10,True,5000,1,199,0.5686,,Unnamed: 7: 2025-06-02T00:00:00 to 2025-06-02T00:00:00,Unnamed: 0 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_1.xlsx,Sheet1,0,0,True,5000,0,0,0.0,,,
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_1.xlsx,prod_bm,5000,4,True,5000,0,0,0.0,power_or_energy_candidate;return_temperature_candidate;supply_temperature_candidate;timestamp_candidate,Time stamp: 2025-07-06T01:36:57 to 2025-07-16T11:26:57,Time stamp | Power Interval Trend Log | Return Temperature Interval Trend Log | Supply Temperature Interval Trend Log
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_1.xlsx,bm_02,5000,4,True,5000,0,0,0.0,power_or_energy_candidate;return_temperature_candidate;supply_temperature_candidate;timestamp_candidate,Time stamp: 2025-07-06T01:38:56 to 2025-07-16T11:31:57,Time stamp | Power Interval Trend Log | Return Temperature Interval Trend Log | Supply Temperature Interval Trend Log
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_1.xlsx,bm_01,5000,4,True,5000,0,0,0.0,power_or_energy_candidate;return_temperature_candidate;supply_temperature_candidate;timestamp_candidate,Time stamp: 2025-07-06T01:39:15 to 2025-07-16T11:36:57,Time stamp | Power Interval Trend Log | Return Temperature Interval Trend Log | Supply Temperature Interval Trend Log
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_1.xlsx,prod_gas_hostatgeria,5000,4,True,5000,3,0,0.0,power_or_energy_candidate;return_temperature_candidate;supply_temperature_candidate;timestamp_candidate,Time stamp: 2025-07-06T01:53:56 to 2025-07-16T11:51:57,Time stamp | Power Interval Trend Log | Return Temperature Interval Trend Log | Supply Temperature Interval Trend Log
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_1.xlsx,gas_h_01,5000,4,True,5000,3,0,0.0,power_or_energy_candidate;return_temperature_candidate;supply_temperature_candidate;timestamp_candidate,Time stamp: 2025-07-06T02:36:57 to 2025-07-16T12:31:57,Time stamp | Power Interval Trend Log | Return Temperature Interval Trend Log | Supply Temperature Interval Trend Log
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_1.xlsx,gas_h_02,5000,4,True,5000,3,0,0.0,power_or_energy_candidate;return_temperature_candidate;supply_temperature_candidate;timestamp_candidate,Time stamp: 2025-07-06T02:36:57 to 2025-07-16T12:31:57,Time stamp | Power Interval Trend Log | Return Temperature Interval Trend Log | Supply Temperature Interval Trend Log
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_1.xlsx,cons_abat_cisneros,5000,4,True,5000,3,0,0.0,power_or_energy_candidate;return_temperature_candidate;supply_temperature_candidate;timestamp_candidate,Time stamp: 2025-07-01T15:31:57 to 2025-07-16T12:36:57,Time stamp | Power Interval Trend Log | Return Temperature Interval Trend Log | Supply Temperature Interval Trend Log
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_1.xlsx,cons_abat_garriga,5000,4,True,5000,3,0,0.0,power_or_energy_candidate;return_temperature_candidate;supply_temperature_candidate;timestamp_candidate,Time stamp: 2025-07-01T15:31:57 to 2025-07-16T12:36:57,Time stamp | Power Interval Trend Log | Return Temperature Interval Trend Log | Supply Temperature Interval Trend Log
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_1.xlsx,cons_abat_marcet,5000,4,True,5000,3,0,0.0,power_or_energy_candidate;return_temperature_candidate;supply_temperature_candidate;timestamp_candidate,Time stamp: 2025-07-01T15:36:57 to 2025-07-16T12:41:57,Time stamp | Power Interval Trend Log | Return Temperature Interval Trend Log | Supply Temperature Interval Trend Log
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_2.xlsx,INFO,35,10,True,5000,1,199,0.5686,,Unnamed: 7: 2025-06-02T00:00:00 to 2025-06-02T00:00:00,Unnamed: 0 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_2.xlsx,cons_abat_oliba,5000,4,True,5000,0,0,0.0,power_or_energy_candidate;return_temperature_candidate;supply_temperature_candidate;timestamp_candidate,Time stamp: 2025-06-11T18:54:15 to 2025-07-16T12:36:57,Time stamp | Power Interval Trend Log | Return Temperature Interval Trend Log | Supply Temperature Interval Trend Log
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_2.xlsx,cons_escolania_bm,5000,4,True,5000,0,0,0.0,power_or_energy_candidate;return_temperature_candidate;supply_temperature_candidate;timestamp_candidate,Time stamp: 2025-07-06T02:16:57 to 2025-07-16T12:46:57,Time stamp | Power Interval Trend Log | Return Temperature Interval Trend Log | Supply Temperature Interval Trend Log
D:\Downloads\KTH\Masters Thesis\thesis-heat-detection\Data\DHC network\data\District Heating_updated_16_07_2025_2.xlsx,prod_gas_escolania,5000,4,True,5000,0,0,0.0,power_or_energy_candidate;return_temperature_candidate;supply_temperature_candidate;timestamp_candidate,Time stamp: 2025-07-03T11:56:57 to 2025-07-16T12:51:57,Time stamp | Power Interval Trend Log | Return Temperature Interval Trend Log | Supply Temperature Interval Trend Log
