display_label,sheet,rank,window_start,window_end,split,reconstruction_mse,dominant_anomalous_feature,resampled_points,median_supply_temp_c,median_return_temp_c,median_stabilized_flow_log_feature,supply_temp_c_reconstruction_mse,return_temp_c_reconstruction_mse,stabilized_flow_log_feature_reconstruction_mse,median_delta_t_c,min_delta_t_c,low_delta_t_anomaly_points,has_low_delta_t_overlap,threshold_method,threshold_value
Abat Cisneros,cons_abat_cisneros,1,2025-03-17 06:45:00,2025-03-18 06:45:00,train,0.37135985,stabilized_flow_log_feature,96,78.6400032043457,64.5099983215332,1.11806786563244,0.16400369,0.34730458,0.6027712,12.03499984741211,-0.1699981689453125,0,False,train_3sigma,0.3121674358844757
Abat Cisneros,cons_abat_cisneros,2,2024-08-08 18:45:00,2024-08-09 18:45:00,train,0.33831108,stabilized_flow_log_feature,96,60.32500076293945,53.46500015258789,0.3415173014863671,0.2945679,0.35131744,0.3690479,6.180000305175781,-1.8300018310546875,0,False,train_3sigma,0.3121674358844757
Abat Cisneros,cons_abat_cisneros,3,2025-03-19 18:45:00,2025-03-20 18:45:00,train,0.33324414,stabilized_flow_log_feature,96,79.84000015258789,66.08999633789062,1.225988117568124,0.13419105,0.28767297,0.5778684,13.43000030517578,3.0,0,False,train_3sigma,0.3121674358844757
Abat Cisneros,cons_abat_cisneros,4,2025-03-16 18:45:00,2025-03-17 18:45:00,train,0.3208962,stabilized_flow_log_feature,96,78.46500015258789,63.579999923706055,1.110410618944274,0.15434569,0.29870766,0.5096352,13.59000015258789,-0.1699981689453125,0,False,train_3sigma,0.3121674358844757
Abat Garriga,cons_abat_garriga,1,2024-09-23 05:45:00,2024-09-24 05:45:00,train,0.5173868,return_temp_c,96,56.91999816894531,52.40999984741211,0.2361823131923491,0.5205079,0.7671191,0.26453367,2.779998779296875,-2.0,0,False,train_3sigma,0.2796710133552551
Abat Garriga,cons_abat_garriga,2,2025-03-17 05:45:00,2025-03-18 05:45:00,train,0.42828047,return_temp_c,96,78.1500015258789,70.37000274658203,0.6424990632861908,0.35845053,0.58019984,0.34619102,7.209999084472656,-9.59000015258789,0,False,train_3sigma,0.2796710133552551
Abat Garriga,cons_abat_garriga,3,2025-03-06 05:45:00,2025-03-07 05:45:00,train,0.40683687,return_temp_c,96,78.24499893188477,64.16999816894531,0.5582012941015431,0.086276434,0.67235637,0.46187767,6.399993896484375,0.4499969482421875,0,False,train_3sigma,0.2796710133552551
Abat Garriga,cons_abat_garriga,4,2025-03-16 17:45:00,2025-03-17 17:45:00,train,0.39433482,return_temp_c,96,78.2300033569336,70.37000274658203,0.6458205927671167,0.32759523,0.5554343,0.2999748,7.239997863769531,-9.59000015258789,0,False,train_3sigma,0.2796710133552551
Abat Garriga,cons_abat_garriga,5,2025-03-06 17:45:00,2025-03-07 17:45:00,train,0.39084765,return_temp_c,96,79.65999984741211,68.78000259399414,0.5198145980487436,0.15976463,0.6325458,0.38023248,7.850006103515625,-1.0399932861328125,0,False,train_3sigma,0.2796710133552551
Abat Garriga,cons_abat_garriga,6,2024-12-21 05:45:00,2024-12-22 05:45:00,train,0.37915444,return_temp_c,96,72.68500137329102,56.44999885559082,0.1677705865041069,0.32279426,0.6295121,0.1851571,23.63999938964844,4.290000915527344,0,False,train_3sigma,0.2796710133552551
Abat Marcet,cons_abat_marcet,1,2024-09-22 22:45:00,2024-09-23 22:45:00,train,1.099381,stabilized_flow_log_feature,96,48.84749984741211,48.040000915527344,0.5548406786471405,1.0743883,0.5391533,1.6846017,0.5600013732910156,-1.9300003051757808,0,False,train_3sigma,0.4004163146018982
Abat Marcet,cons_abat_marcet,2,2024-03-20 10:45:00,2024-03-21 10:45:00,train,1.0357441,return_temp_c,96,79.66000366210938,71.36000061035156,0.5027796964374063,1.1546057,1.8297094,0.12291696,7.459999084472656,1.1999969482421875,0,False,train_3sigma,0.4004163146018982
Abat Marcet,cons_abat_marcet,3,2024-09-22 10:45:00,2024-09-23 10:45:00,train,0.97991776,stabilized_flow_log_feature,96,48.619998931884766,47.84000015258789,0.5718385021343595,1.0386871,0.40580988,1.4952561,0.5799980163574219,-1.9300003051757808,0,False,train_3sigma,0.4004163146018982
Abat Marcet,cons_abat_marcet,4,2024-09-21 22:45:00,2024-09-22 22:45:00,train,0.8949248,stabilized_flow_log_feature,96,48.91999816894531,47.78249931335449,0.5785680788213619,0.8180597,0.32582295,1.5408918,0.5600013732910156,-4.569999694824219,0,False,train_3sigma,0.4004163146018982
Abat Marcet,cons_abat_marcet,5,2024-09-23 10:45:00,2024-09-24 10:45:00,train,0.77319616,stabilized_flow_log_feature,96,78.38999938964844,70.31999969482422,0.3415868203392187,0.60830534,0.62209874,1.0891844,7.94000244140625,-1.4599990844726562,0,False,train_3sigma,0.4004163146018982
Abat Marcet,cons_abat_marcet,6,2024-09-21 10:45:00,2024-09-22 10:45:00,train,0.51242304,stabilized_flow_log_feature,96,65.92999935150146,61.97999954223633,0.5269626611689634,0.41481963,0.15463775,0.96781176,4.299999237060547,-4.569999694824219,0,False,train_3sigma,0.4004163146018982
Abat Oliba,cons_abat_oliba,1,2025-03-02 18:45:00,2025-03-03 18:45:00,train,0.38521242,return_temp_c,96,81.5400009,68.75,0.395471153109088,0.1859038,0.51031566,0.4594178,14.110000599999992,-4.699996999999996,0,False,train_3sigma,0.3417040109634399
